Time,result,table,_start,_stop,_time,_measurement,dst_ip,protocol,src_ip,ack_rtt_ms,avg_latency_ms,bandwidth_mbps,jitter_ms,packet_length_bytes,retransmission,session_duration_sec,tcp_dst_port,tcp_src_port,time_delta_ms,total_data_mb,ttl,window_size,tcp_flags
2024-12-07 04:16:45.068329+00:00,_result,16,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:45.068329+00:00,network_metrics,3232235521,DNS,3232235765,8.5,147.25,0.0,232.32,0.01,0,18.04,443.0,443.0,149.24,0.99,0.5,0.007985678704856787,
2024-12-07 04:16:43.011159+00:00,_result,17,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:43.011159+00:00,network_metrics,3232235765,DNS,3232235521,8.5,40.72,0.0,52.11,0.03,0,18.03,443.0,443.0,24.21,3.28,0.2204724409448819,0.007985678704856787,
2024-12-07 04:16:22.133100+00:00,_result,18,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:22.133100+00:00,network_metrics,3232235765,NBNS,3232235521,48.94,20.94,0.0,20.65,0.01,0,30.38,443.0,443.0,16.0,3.43,0.24803149606299213,0.007827878233005264,
2024-12-07 04:16:21.990524+00:00,_result,19,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:21.990524+00:00,network_metrics,3232235765,SSL,1757934026,48.94,111.28,0.0,,0.0,0,0.0,51148.0,443.0,111.28,0.05,0.24015748031496065,0.00392156862745098,0.9565217391304348
2024-12-07 04:16:42.774660+00:00,_result,20,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:42.774660+00:00,network_metrics,3232235765,TCP,1249757372,207.73,4.06,0.0,,0.0,0,0.0,55510.0,5228.0,4.06,0.04,0.468503937007874,0.016282689912826897,0.6363636363636364
2024-12-07 04:16:42.808744+00:00,_result,21,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:42.808744+00:00,network_metrics,3232235765,TCP,1750514976,13.55,3.35,0.0,11.49,0.0,0,13.92,60180.0,443.0,4.6,244.29,0.24015748031496065,0.45454545454545453,0.7272727272727273
2024-12-07 04:17:09.763591+00:00,_result,21,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:17:09.763591+00:00,network_metrics,3232235765,TCP,1750514976,60.29,5.86,0.01,27.93,0.01,0,0.04,60329.0,443.0,30.22,804.88,0.0,0.21739130434782616,0.0
2024-12-07 04:16:22.013063+00:00,_result,22,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:22.013063+00:00,network_metrics,3232235765,TCP,1964173512,509.3,4.66,0.0,12.05,0.0,0,1.29,59830.0,443.0,47.83,110.39,0.2047244094488189,1.0,0.6956521739130435
2024-12-07 04:16:22.037411+00:00,_result,23,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:22.037411+00:00,network_metrics,3232235765,TCP,2398795406,55.49,15.49,0.0,26.89,0.0,0,24.17,59686.0,443.0,0.0,14.48,0.24015748031496065,0.004882887006942855,0.6521739130434783
2024-12-07 04:16:42.849149+00:00,_result,23,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:42.849149+00:00,network_metrics,3232235765,TCP,2398795406,18.28,2.59,0.0,3.67,0.0,0,0.0,60066.0,443.0,5.19,0.04,0.24015748031496065,0.004265255292652552,0.6818181818181818
2024-12-07 04:16:42.877764+00:00,_result,24,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:42.877764+00:00,network_metrics,3232235765,TCP,2398798698,15.45,8.64,0.0,19.29,0.0,0,0.13,60325.0,443.0,5.24,10.55,0.24015748031496065,0.45454545454545453,0.7272727272727273
2024-12-07 04:16:42.918937+00:00,_result,25,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:42.918937+00:00,network_metrics,3232235765,TCP,2398817468,208.71,21.32,0.0,,0.0,0,0.0,55514.0,5228.0,21.32,0.04,0.468503937007874,0.016282689912826897,0.6363636363636364
