Time,result,table,_start,_stop,_time,_measurement,dst_ip,protocol,src_ip,ack_rtt_ms,avg_latency_ms,bandwidth_mbps,jitter_ms,packet_length_bytes,retransmission,session_duration_sec,tcp_dst_port,tcp_src_port,time_delta_ms,total_data_mb,ttl,window_size,tcp_flags
2024-12-07 04:14:43.788985+00:00,_result,49,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.788985+00:00,network_metrics,3232235775,UDP,3232235740,38.2,0.0,0.0,0.0,0.0,0,25.19,443.0,443.0,0.0,0.11,0.5,0.0052338445105668,
2024-12-07 04:15:16.427218+00:00,_result,49,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:16.427218+00:00,network_metrics,3232235775,UDP,3232235740,45.9,0.0,0.0,0.0,0.01,0,25.1,443.0,443.0,0.0,0.53,0.5,0.0042652552926525,
2024-12-07 04:14:44.457939+00:00,_result,50,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:44.457939+00:00,network_metrics,3232235775,UDP,3232235765,38.2,240.34,0.0,,0.0,0,0.0,443.0,443.0,240.34,0.02,0.5,0.0052338445105668,
2024-12-07 04:14:44.489875+00:00,_result,51,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:44.489875+00:00,network_metrics,3232236031,TCP,3232235765,38.2,86.51,0.0,96.86,0.0,0,8.01,1688.0,58477.0,18.02,0.02,0.5,0.980239566643778,0.0
2024-12-07 04:15:16.775682+00:00,_result,52,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:16.775682+00:00,network_metrics,347974688,TCP,3232235765,45.9,1.52,0.0,1.66,0.01,0,1.03,443.0,58979.0,2.81,4.7,0.5,1.0,0.0
2024-12-07 04:15:16.817702+00:00,_result,53,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:16.817702+00:00,network_metrics,349129045,TCP,3232235765,45.9,7.25,0.0,16.27,0.01,0,7.65,443.0,59043.0,1.17,5.91,0.5,1.0,0.0
2024-12-07 04:14:44.523810+00:00,_result,54,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:44.523810+00:00,network_metrics,3639550644,TCP,3232235765,38.2,18.56,0.0,55.67,0.0,0,1.22,443.0,58566.0,4.55,2.49,0.5,0.980239566643778,0.0
2024-12-07 04:15:15.549083+00:00,_result,55,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.549083+00:00,network_metrics,3758096635,MDNS,3232235638,45.9,0.0,0.0,0.0,0.09,0,1.74,443.0,443.0,0.0,1.72,0.0,0.0042652552926525,
2024-12-07 04:15:15.622280+00:00,_result,56,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.622280+00:00,network_metrics,3758096635,MDNS,3232235646,45.9,0.0,0.0,0.0,0.08,0,1.74,443.0,443.0,0.0,1.56,0.0,0.0042652552926525,
2024-12-07 04:15:15.692700+00:00,_result,57,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.692700+00:00,network_metrics,3758096635,MDNS,3232235671,45.9,58.31,0.0,86.05,0.01,0,2.87,443.0,443.0,210.97,3.15,0.0,0.0042652552926525,
